player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,pid,Rec,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,ht
Landry Fields,Stanford,P10,32,90.3,110.3,31,51.9,56.04,7.9,20.6,19.6,13.6,0.1543103448275862,0.22155172413793103,0.696,0.18879310344827585,0.3620689655172414,0.521,0.025,0.07413793103448275,0.337,2.3,2.6,50.8,Sr,5.76639,130.526,2.2,2010,1416,51.2,1.07224916,0.10862068965517241,0.16034482758620688,0.08017241379310344,0.20086206896551725,0.6774,0.3991,0.02327586206896552,0.027586206896551724,0.8438,97.9116,93.4292,0.0035726810344827585,252.206,8.93532,5.67647,3.25885,10.602,36.25,8.16358,2.43847,2.5312,6.2188,8.75,2.7812,1.5938,0.7812,22,Wing F,79
Solomon Alabi,Florida St.,ACC,32,63.8,110.7,22.2,53.4,59.63,11.6,15.7,4.4,19.7,0.13170731707317074,0.16585365853658537,0.794,0.16219512195121952,0.30365853658536585,0.534,0,0,0,10.4,1.4,54.6,So,3.02759,118.687,3.7,2010,1924,95.4,0.26230195,0.10121951219512196,0.13902439024390245,0.06097560975609756,0.16463414634146342,0.7281,0.3704,0.046341463414634146,0.05,0.9268,87.2086,82.9266,0.004707109756097561,176.318,6.53286,0.499021,6.03384,6.93068,25.625,2.74912,4.18156,2.4688,3.7188,6.1875,0.5,0.625,2.3438,11.6875,C,85
Evan Turner,Ohio St.,B10,31,74.4,108.9,34.5,54,58.15,7.4,23.5,37.5,21.7,0.12454886011168421,0.16426009087193136,0.758,0.19584856988576432,0.3628162446731671,0.54,0.018050559436475974,0.049639038450308925,0.364,2.9,3,39.8,Jr,6.2427,135.245,3.1,2010,1929,90.8,1.36028349,0.09205785312602746,0.11732863633709383,0.09566796501332266,0.23285221673054007,0.7846,0.4109,0.016245503492828377,0.017148031464652175,0.9474,88.4064,83.6938,0.004777910880597445,247.062,11.1906,5.66679,5.52382,11.2167,35.7419,6.94325,4.27342,2,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,Wing F,79
Dominique Jones,South Florida,BE,33,92,110.1,30.2,50.3,56.22,3.6,14.9,24.4,16,0.17075167583782908,0.23039221333142487,0.741,0.1388889229302916,0.2663399345604415,0.521,0.04248367054338331,0.13643794193740408,0.311,1.6,2.8,57.2,Jr,5.66368,128.843,3,2010,2231,NA,1.23712323,0.08333335375817495,0.12091506231578326,0.05555556917211663,0.14542487224465825,0.6892,0.382,0.008986930307254162,0.009803923971549994,0.9167,98.0138,92.4328,0.0035557770153048242,235.792,8.4962,5.97313,2.52308,9.79203,37.0909,6.99379,2.79824,1.1212,4.9697,6.0909,3.6364,1.697,0.5758,21.3636,Combo G,76
Dwayne Collins,Miami FL,ACC,28,54.6,105.7,26.4,61.2,60.54,14.3,21.6,10.5,22.5,0.1230328337437289,0.22031460926202617,0.558,0.18025740757802142,0.29470655524660644,0.612,0,0,0,5.1,1.5,74.8,Sr,2.90439,118.033,3.9,2010,2387,77.6,0.47143998,0.13876959154815935,0.18741047930730798,0.04148781602986207,0.10729607593929846,0.7405,0.3867,0.07010010294700833,0.07725317467629489,0.9074,94.2041,92.8863,0.004166292322579501,146.902,5.13182,2.73811,2.3937,4.66374,24.9643,3.74939,0.914353,2.9643,4.75,7.7143,1.1786,0.6071,1.1429,12.0714,C,80
Trevor Booker,Clemson,ACC,32,76.9,112,24.7,53.3,54.95,10.1,20.4,17.4,14.4,0.10264227642276423,0.17378048780487804,0.591,0.18191056910569106,0.3323170731707317,0.547,0.009146341463414634,0.034552845528455285,0.265,4.6,2.5,47.4,Sr,4.35402,125.31,2.6,2010,2429,49.8,1.30642577,0.14126016260162602,0.1951219512195122,0.04065040650406504,0.13719512195121952,0.724,0.2963,0.03353658536585366,0.037601626016260166,0.8919,88.4183,84.658,0.0045377540650406506,225.348,9.79521,4.77296,5.02225,10.0595,30.75,6.40153,3.65793,2.7812,5.5938,8.375,2.5312,1.3438,1.4062,15.1875,Wing F,79
Ekpe Udoh,Baylor,B12,35,88,110.5,23,49.1,52.99,12.8,17.6,14.7,17.9,0.08863830214138052,0.12812263673163182,0.692,0.14343288891968847,0.2884773833328566,0.497,0.00564061922717876,0.020950871415235394,0.269,11,1.4,41.4,Jr,4.3974,120.501,2.8,2010,2610,47.4,1.11631598,0.06285261424570618,0.08783249939464069,0.08058027467398228,0.2006448839382159,0.7156,0.4016,0.024174082402194687,0.02578568789567433,0.9375,93.4571,88.0061,0.0037898031303019307,273.986,11.5652,4.36662,7.19855,8.83903,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,C,82
James Anderson,Oklahoma St.,B12,33,84.8,117.5,30.7,53.2,59.61,6.7,12.9,16.5,13.1,0.18594309358418035,0.22953740739099773,0.81,0.1352313407884948,0.2464413249895596,0.549,0.06583631064703035,0.1930605325730485,0.341,2,2.4,52.2,Jr,6.49061,139.629,3.1,2010,2812,96,1.02563887,0.10409254521219666,0.16370109674396738,0.031138795576298145,0.08274022824559221,0.6359,0.3763,0.019572957219387406,0.021352316966604442,0.9167,98.1485,93.2981,0.003478559337821946,217.438,10.434,8.45581,1.97822,11.3054,34.0606,9.4241,1.88125,1.9394,3.8788,5.8182,2.4242,1.3939,0.6061,22.2727,Wing G,78
Da'Sean Butler,West Virginia,BE,38,87.9,117.8,23.9,48.3,54.12,5,15.4,19.2,13,0.12371148596345914,0.15684849113224283,0.789,0.10162014918427001,0.22459525725508953,0.452,0.051546452484774644,0.14580282274264827,0.354,1.3,1.7,42.3,Sr,5.61835,130.557,2.4,2010,3069,78.8,1.74998598,0.041973539880459355,0.0662740103375674,0.05964660930381066,0.1597940027028014,0.6333,0.3733,0.003681889463198189,0.003681889463198189,1,97.556,90.296,0.003252934613177747,239.493,8.5762,6.33495,2.24126,8.952,35.7368,6.60763,2.34437,1.6053,4.6316,6.2368,3.1316,0.9737,0.3947,17.2105,Wing G,79
Luke Harangody,Notre Dame,BE,30,69.9,113,31.8,50.6,55.19,8.3,24.2,11.8,10.6,0.14155698528110688,0.17997959557169305,0.787,0.22143556983258864,0.4307376837839395,0.514,0.025278033085911943,0.08190082719835469,0.309,2.1,0.9,35.1,Sr,5.59259,133.597,2.8,2010,3225,82.4,0.8703889,0.11425670954832198,0.1729017463076377,0.10717886028426664,0.25783593747630185,0.6608,0.4157,0.010111213234364777,0.012133455881237733,0.8333,103.004,98.5961,0.003214698468454531,184.54,3.39615,3.98874,-0.592593,5.02742,32.9667,6.06659,-1.03917,2.2333,6.8667,9.1,1.5667,0.4667,0.6667,21.7667,PF/C,80
