Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Tyler Honeycutt,2,0.2,0.1,-0.26,-0.15,-0.11
Ashton Hagans,1,0.0,0.0,-0.28,-0.26,-0.02
Justin James,2,0.4,0.2,-1.14,-0.76,-0.38
Anthony Gill,1,0.3,0.3,-0.42,-0.67,+0.25
Carlos Boozer,6,17.5,2.9,-0.27,-0.52,+0.25
Jermaine O'Neal,5,6.7,1.3,-0.27,-1.69,+1.42
Chris Smith,1,0.0,0.0,-0.27,-0.12,-0.16
Wenyen Gabriel,2,0.6,0.3,-0.47,-0.79,+0.32
Andy Rautins,1,0.0,0.0,-0.27,-0.27,-0.00
Justise Winslow,6,9.8,1.6,-0.32,-1.41,+1.09
Gigi Datome,2,0.6,0.3,-0.27,-0.09,-0.19
Zach Lofton,1,0.0,0.0,-0.27,-0.25,-0.02
Jason Williams,2,2.7,1.4,-0.27,+0.51,-0.78
LaMelo Ball,1,1.8,1.8,-0.50,+0.17,-0.68
Kareem Rush,1,0.1,0.1,-0.28,-0.09,-0.19
Lauri Markkanen,4,8.3,2.1,-0.39,-0.03,-0.36
Landry Fields,5,8.1,1.6,-0.29,-0.04,-0.25
J.P. Macura,2,0.0,0.0,-0.29,-0.35,+0.06
Jaxson Hayes,2,2.8,1.4,-0.25,-0.96,+0.71
Julyan Stone,4,0.7,0.2,-0.30,-0.65,+0.35
Tyler Bey,1,0.1,0.1,-0.68,-0.32,-0.36
Yante Maten,1,0.0,0.0,-0.30,-0.22,-0.08
Jacob Wiley,1,0.0,0.0,-0.30,-0.59,+0.29
Dennis Horner,1,0.0,0.0,-0.31,-0.12,-0.18
Ben Bentil,1,0.0,0.0,-0.31,-0.29,-0.01
Monta Ellis,8,28.7,3.6,-0.31,+0.43,-0.74
Jerel McNeal,1,0.0,0.0,-0.31,-0.25,-0.06
Joel Bolomboy,2,0.1,0.1,-0.31,-0.14,-0.17
Shai Gilgeous-Alexander,3,7.8,2.6,-0.28,+0.11,-0.38
Reggie Hearn,1,0.0,0.0,-0.31,-0.26,-0.06
Jordan Williams,1,0.8,0.8,-0.31,-0.43,+0.12
Jarvis Varnado,2,0.5,0.3,-0.32,-1.70,+1.38
Garret Siler,1,0.1,0.1,-0.32,-0.18,-0.14
Cody Martin,2,2.4,1.2,-0.29,-0.61,+0.31
Renaldo Balkman,3,0.4,0.1,-0.32,-0.30,-0.02
Marcus Morris Sr.,8,20.9,2.6,-0.37,-0.07,-0.31
Patrick Christopher,1,0.0,0.0,-0.32,-0.15,-0.17
Fab Melo,1,0.0,0.0,-0.33,-0.23,-0.09
Othello Hunter,1,0.0,0.0,-0.33,-0.18,-0.16
Robert Franks,1,0.1,0.1,-0.35,-0.31,-0.04
Stanton Kidd,1,0.0,0.0,-0.34,-0.11,-0.23
Eric Dawson,1,0.1,0.1,-0.34,-0.09,-0.25
Beno Udrih,8,14.7,1.8,-0.34,+0.43,-0.76
Naz Reid,2,2.6,1.3,-0.21,-0.54,+0.33
Amile Jefferson,2,0.2,0.1,-0.34,-0.43,+0.09
Justin Robinson,2,0.2,0.1,-0.61,-0.46,-0.15
Goga Bitadze,2,1.5,0.8,-0.07,-1.19,+1.12
Gian Clavell,1,0.1,0.1,-0.34,-0.32,-0.02
Devin Booker,6,18.2,3.0,-0.32,+1.73,-2.05
Eric Gordon,12,26.2,2.2,-0.34,+1.23,-1.57
Patrick O'Bryant,1,0.1,0.1,-0.34,-0.16,-0.19
Keith Appling,1,0.0,0.0,-0.34,-0.21,-0.14
Walt Lemon Jr.,2,0.3,0.1,-0.34,-0.28,-0.06
Donta Hall,2,0.5,0.2,+0.03,-0.62,+0.65
Nigel Williams-Goss,1,0.1,0.1,-0.35,-0.17,-0.18
Ian Mahinmi,11,13.5,1.2,-0.35,-2.17,+1.82
Mychel Thompson,1,0.1,0.1,-0.35,-0.44,+0.09
Luke Zeller,1,0.1,0.1,-0.35,-0.24,-0.12
Terrence Jones,6,7.3,1.2,-0.35,-0.44,+0.08
P.J. Tucker,8,23.4,2.9,-0.42,-1.06,+0.64
George King,1,0.0,0.0,-0.36,+0.04,-0.40
Cassius Winston,1,0.1,0.1,-0.71,-0.35,-0.36
Gary Harris,7,14.4,2.1,-0.48,+0.23,-0.70
Hamady Ndiaye,3,0.2,0.1,-0.37,-0.45,+0.08
Viacheslav Kravtsov,2,0.4,0.2,-0.37,-0.33,-0.05
Caris LeVert,5,9.0,1.8,-0.38,+0.39,-0.77
OG Anunoby,4,8.2,2.1,-0.37,-1.07,+0.70
Isaac Humphries,1,0.1,0.1,-0.37,-0.24,-0.13
Troy Caupain,1,0.0,0.0,-0.38,-0.14,-0.23
Desmond Mason,1,0.1,0.1,-0.38,-0.25,-0.13
Shabazz Napier,6,7.7,1.3,-0.38,-0.19,-0.19
Travis Leslie,1,0.1,0.1,-0.38,-0.32,-0.06
Travis Diener,1,0.1,0.1,-0.38,-0.25,-0.14
Chris Johnson,7,3.7,0.5,-0.39,-0.54,+0.15
Trey Johnson,2,0.2,0.1,-0.39,-0.31,-0.08
Tomas Satoransky,5,9.7,1.9,-0.42,-0.06,-0.36
Devin Robinson,2,0.1,0.1,-0.39,-0.32,-0.07
Kyle Weaver,2,0.3,0.1,-0.39,-0.50,+0.11
Tristan Thompson,10,23.7,2.4,-0.41,-0.52,+0.11
Corey Brewer,11,21.2,1.9,-0.40,-0.55,+0.16
Robin Lopez,12,24.4,2.0,-0.42,-0.94,+0.52
Mitch McGary,2,0.7,0.4,-0.40,-0.49,+0.09
Anthony Parker,3,7.2,2.4,-0.40,-0.59,+0.19
Will Magnay,1,0.0,0.0,-0.45,-0.45,-0.00
Ed Davis,11,17.2,1.6,-0.41,-1.19,+0.78
Kostas Antetokounmpo,3,0.1,0.0,-0.35,-0.42,+0.07
Kenyon Martin,6,6.8,1.1,-0.41,-1.95,+1.55
Delonte West,3,3.8,1.3,-0.41,-1.17,+0.76
Brice Johnson,2,0.1,0.1,-0.41,-0.28,-0.13
Nigel Hayes,1,0.2,0.2,-0.41,-0.56,+0.15
Sherron Collins,1,0.1,0.1,-0.42,-0.36,-0.05
Rawle Alkins,1,0.2,0.2,-0.42,-0.10,-0.32
JJ O'Brien,1,0.0,0.0,-0.42,-0.10,-0.32
John Henson,8,11.0,1.4,-0.42,-1.31,+0.89
Jason Thompson,7,15.7,2.2,-0.43,-0.78,+0.35
Enes Kanter,10,21.1,2.1,-0.30,+0.80,-1.10
Will Conroy,2,0.1,0.0,-0.43,-0.33,-0.09
Quentin Richardson,4,4.9,1.2,-0.43,-0.76,+0.33
Duje Dukan,1,0.0,0.0,-0.43,-0.08,-0.35
Devontae Cacok,2,0.1,0.1,-0.30,-0.16,-0.14
Rashard Lewis,5,8.4,1.7,-0.43,-0.64,+0.20
Jerry Smith,1,0.1,0.1,-0.44,-0.59,+0.15
Skylar Mays,1,0.4,0.4,-0.05,+0.55,-0.60
Brandon Ingram,5,12.5,2.5,-0.48,+0.18,-0.66
Danuel House Jr.,5,5.2,1.0,-0.45,-0.37,-0.08
Bryce Cotton,2,0.2,0.1,-0.45,+0.21,-0.66
Kadeem Allen,3,0.8,0.3,-0.45,+0.02,-0.47
Kalin Lucas,2,0.0,0.0,-0.45,-0.21,-0.24
Luke Ridnour,6,12.3,2.1,-0.45,+0.30,-0.76
Solomon Alabi,2,0.2,0.1,-0.46,-0.46,-0.01
Tariq Owens,1,0.0,0.0,-0.46,-0.28,-0.19
James Southerland,1,0.0,0.0,-0.46,-0.07,-0.39
Bonzie Colson,1,0.1,0.1,-0.46,+0.14,-0.60
PJ Dozier,4,2.2,0.6,-0.17,-1.01,+0.84
Vander Blue,3,0.2,0.1,-0.47,-0.26,-0.21
Nazr Mohammed,7,5.3,0.8,-0.47,-1.53,+1.06
Dusty Hannahs,2,0.0,0.0,-0.47,-0.21,-0.26
Earl Watson,5,7.2,1.4,-0.47,-0.55,+0.08
Adam Mokoka,2,0.2,0.1,-0.44,-0.24,-0.20
Yuta Watanabe,3,1.1,0.4,-0.62,-1.31,+0.69
D.J. Kennedy,1,0.1,0.1,-0.47,-0.28,-0.19
Martell Webster,6,11.0,1.8,-0.47,+0.11,-0.59
Cliff Alexander,1,0.0,0.0,-0.48,-0.35,-0.13
Isaiah Stewart,1,1.9,1.9,-0.38,-1.92,+1.54
Cory Joseph,10,18.0,1.8,-0.45,-0.32,-0.14
Pat Connaughton,6,8.4,1.4,-0.22,-0.22,+0.00
Jarrod Uthoff,2,0.2,0.1,-0.48,-0.33,-0.15
Darryl Watkins,1,0.1,0.1,-0.48,-0.66,+0.18
Dean Wade,2,0.9,0.4,-1.27,-1.22,-0.06
Alex Stepheson,1,0.1,0.1,-0.49,-0.17,-0.31
Jarred Vanderbilt,3,2.3,0.8,+0.40,-1.80,+2.20
Jontay Porter,1,0.1,0.1,-0.41,-0.25,-0.16
Jonah Bolden,2,0.8,0.4,-0.49,-1.23,+0.74
Glen Rice,2,0.2,0.1,-0.50,-0.47,-0.02
Angel Delgado,1,0.0,0.0,-0.50,-0.23,-0.27
Kyle Kuzma,4,9.4,2.3,-0.59,-0.16,-0.43
Matt Costello,1,0.0,0.0,-0.50,-0.33,-0.17
Kris Joseph,1,0.1,0.1,-0.51,-0.26,-0.24
Russ Smith,2,0.2,0.1,-0.51,-0.21,-0.30
Mamadi Diakite,1,0.2,0.2,-0.08,-0.85,+0.77
Aron Baynes,9,10.1,1.1,-0.50,-1.48,+0.98
Jared Harper,2,0.0,0.0,-0.66,-0.26,-0.40
Jason Terry,9,17.8,2.0,-0.52,+0.47,-0.98
Sean Williams,2,0.4,0.2,-0.52,-1.72,+1.20
Ivan Johnson,2,2.3,1.2,-0.52,-1.60,+1.08
Ish Smith,11,15.7,1.4,-0.53,-0.12,-0.41
Tyrus Thomas,5,4.2,0.8,-0.52,-2.42,+1.90
Nate Wolters,3,1.9,0.6,-0.52,-0.78,+0.26
Seth Curry,7,9.0,1.3,-0.48,+0.05,-0.53
Dakari Johnson,1,0.2,0.2,-0.53,-0.74,+0.20
Trey Lyles,6,7.9,1.3,-0.53,-0.36,-0.17
Iman Shumpert,10,13.5,1.4,-0.54,-0.70,+0.16
Dennis Schroder,8,16.6,2.1,-0.61,+0.21,-0.82
Jordan Adams,2,0.3,0.2,-0.54,-0.27,-0.27
Kevin Murphy,1,0.1,0.1,-0.55,-0.28,-0.26
Erik McCree,1,0.0,0.0,-0.55,+0.01,-0.56
Dorian Finney-Smith,5,10.3,2.1,-0.41,-0.47,+0.06
Jared Jeffries,4,4.1,1.0,-0.55,-2.08,+1.53
J.J. Barea,11,16.4,1.5,-0.55,+0.83,-1.38
Joe Chealey,2,0.0,0.0,-0.55,-0.73,+0.18
D'Angelo Russell,6,12.5,2.1,-0.51,+0.93,-1.44
Kris Humphries,8,12.7,1.6,-0.56,-0.97,+0.40
Mike James,6,2.4,0.4,-0.52,+0.08,-0.60
Ekpe Udoh,7,6.6,0.9,-0.56,-2.44,+1.88
Edwin Ubiles,1,0.1,0.1,-0.56,-0.36,-0.20
Marquese Chriss,5,5.8,1.2,-0.57,-1.29,+0.73
AJ Price,6,4.5,0.8,-0.58,-0.14,-0.44
Anthony Tolliver,12,16.1,1.3,-0.58,-0.49,-0.09
Mike Muscala,8,7.1,0.9,-0.55,-0.77,+0.22
Mike Bibby,3,5.8,1.9,-0.58,-0.00,-0.58
Greivis Vasquez,7,11.0,1.6,-0.58,+0.88,-1.46
William Howard,1,0.0,0.0,-0.59,-0.10,-0.48
Stephen Zimmerman,1,0.1,0.1,-0.59,-0.74,+0.15
Justin Patton,4,0.3,0.1,-0.59,-1.03,+0.44
Milton Doyle,1,0.1,0.1,-0.59,-0.57,-0.01
Daniel Orton,3,0.6,0.2,-0.59,-1.38,+0.80
Malik Fitts,1,0.0,0.0,-0.50,-0.15,-0.35
Jordan McLaughlin,2,1.9,1.0,-0.44,-0.59,+0.15
Justin Wright-Foreman,1,0.1,0.1,-0.59,-0.22,-0.37
Drew Eubanks,3,1.2,0.4,-0.75,-1.54,+0.79
Yakhouba Diawara,1,0.1,0.1,-0.59,-0.34,-0.25
Donte Grantham,1,0.0,0.0,-0.59,-0.12,-0.47
Julius Randle,7,15.9,2.3,-0.56,-0.08,-0.49
Johnathan Motley,3,0.4,0.1,-0.60,-0.02,-0.58
Andre Dawkins,1,0.0,0.0,-0.60,-0.16,-0.44
Kevin Hervey,1,0.1,0.1,-0.60,-0.29,-0.31
Cassius Stanley,1,0.1,0.1,-1.08,-0.36,-0.72
Caron Butler,7,12.0,1.7,-0.61,-0.51,-0.10
Marcus Banks,2,0.3,0.2,-0.61,-0.68,+0.07
Al Harrington,5,7.0,1.4,-0.62,+0.49,-1.11
James Posey,2,2.9,1.4,-0.62,-0.64,+0.02
Gilbert Arenas,3,3.6,1.2,-0.62,+0.03,-0.65
Lamar Stevens,1,0.6,0.6,-0.52,-1.44,+0.92
Josh Reaves,1,0.0,0.0,-0.63,-0.36,-0.27
Mustafa Shakur,2,0.2,0.1,-0.63,-0.54,-0.09
Matthew Dellavedova,8,10.2,1.3,-0.62,-0.09,-0.53
Kent Bazemore,9,15.0,1.7,-0.57,-1.42,+0.84
Xavier Silas,2,0.1,0.0,-0.64,-0.44,-0.21
Devean George,1,0.8,0.8,-0.64,-0.42,-0.22
Zach Norvell Jr.,1,0.0,0.0,-0.64,-0.43,-0.21
Kirk Hinrich,7,13.3,1.9,-0.64,-0.97,+0.33
Damien Inglis,1,0.2,0.2,-0.64,-1.01,+0.37
Tim Quarterman,2,0.1,0.1,-0.64,-0.45,-0.19
Tyler Davis,1,0.0,0.0,-0.65,-0.16,-0.48
Hedo Turkoglu,6,8.6,1.4,-0.65,-0.01,-0.64
Jerome Dyson,1,0.2,0.2,-0.65,-1.19,+0.54
Nate Hinton,1,0.1,0.1,-0.92,-0.22,-0.70
Xavier Munford,2,0.3,0.1,-0.66,-0.72,+0.06
Justin Holiday,8,12.8,1.6,-0.72,-0.95,+0.23
Furkan Korkmaz,4,4.0,1.0,-0.52,+0.13,-0.65
Frank Kaminsky,6,8.5,1.4,-0.66,-0.04,-0.62
Hamed Haddadi,4,1.0,0.3,-0.66,-1.81,+1.15
Jabari Bird,1,0.1,0.1,-0.66,-0.23,-0.44
Jalen Harris,1,0.2,0.2,-0.64,-0.28,-0.37
Patricio Garino,1,0.0,0.0,-0.67,-0.73,+0.06
Mike Wilks,1,0.1,0.1,-0.67,-0.34,-0.33
Mirza Teletovic,6,6.3,1.0,-0.67,+0.59,-1.26
Daryl Macon,2,0.1,0.1,-0.67,-0.51,-0.16
Hasheem Thabeet,5,2.6,0.5,-0.67,-2.57,+1.90
T.J. McConnell,6,11.7,1.9,-0.57,-0.66,+0.10
Bernard James,3,0.8,0.3,-0.68,-1.41,+0.73
Jon Leuer,8,6.5,0.8,-0.68,-1.07,+0.40
Sean May,1,0.4,0.4,-0.68,-1.29,+0.61
Henry Ellenson,5,0.9,0.2,-0.68,-0.42,-0.25
Reggie Perry,1,0.2,0.2,-0.97,-0.22,-0.74
Josh Hart,4,6.9,1.7,-0.66,-0.82,+0.16
AJ Hammons,1,0.2,0.2,-0.69,-1.30,+0.61
Alexis Ajinca,6,4.0,0.7,-0.69,-1.70,+1.01
Deividas Sirvydis,1,0.1,0.1,-1.40,-1.05,-0.35
T.J. Warren,7,10.3,1.5,-0.69,+0.18,-0.88
Dario Saric,5,9.9,2.0,-0.66,-0.20,-0.45
Erick Dampier,3,2.4,0.8,-0.69,-2.32,+1.63
Zhaire Smith,2,0.2,0.1,-0.69,-0.11,-0.59
Harrison Barnes,9,23.0,2.6,-0.68,-0.49,-0.19
Craig Smith,3,2.4,0.8,-0.70,-0.56,-0.13
Alex Len,8,10.9,1.4,-0.70,-1.77,+1.08
Primoz Brezec,1,0.1,0.1,-0.70,-0.59,-0.11
John Konchar,2,0.9,0.4,-0.58,-0.53,-0.05
Spencer Hawes,8,13.2,1.7,-0.70,-1.35,+0.64
Greg Stiemsma,4,3.3,0.8,-0.70,-3.40,+2.70
Trevon Duval,1,0.0,0.0,-0.70,-0.09,-0.61
Kris Dunn,5,5.9,1.2,-0.71,-1.45,+0.74
Markelle Fultz,4,3.0,0.8,-0.72,-0.72,-0.00
Freddie Gillespie,1,0.3,0.3,-1.34,-2.12,+0.78
Norvel Pelle,2,0.3,0.2,-0.69,-2.01,+1.32
Greg Smith,5,2.0,0.4,-0.71,-0.87,+0.16
Jaylen Hoard,2,0.4,0.2,-0.88,-0.68,-0.20
Jalen Lecque,2,0.0,0.0,-0.74,-0.52,-0.23
Nickeil Alexander-Walker,2,1.6,0.8,-0.77,-0.50,-0.27
Miroslav Raduljica,2,0.5,0.3,-0.71,-0.40,-0.31
Grant Hill,4,7.1,1.8,-0.72,-0.63,-0.08
Will Barton,9,14.3,1.6,-0.76,+0.09,-0.85
Trey McKinney-Jones,1,0.0,0.0,-0.72,-0.12,-0.59
Kyle Collinsworth,1,0.5,0.5,-0.72,-0.82,+0.10
Francisco Garcia,6,5.4,0.9,-0.72,-0.94,+0.21
JaMychal Green,7,9.5,1.4,-0.74,-1.08,+0.35
Yogi Ferrell,5,5.5,1.1,-0.71,-0.29,-0.42
Chase Budinger,7,8.4,1.2,-0.73,+0.15,-0.88
Devon Hall,1,0.1,0.1,-0.73,-0.31,-0.41
Davon Reed,2,0.3,0.2,-0.73,-0.88,+0.15
Cheick Diallo,4,2.3,0.6,-0.73,-1.20,+0.47
Ryan Kelly,4,3.3,0.8,-0.73,-0.74,+0.01
Elias Harris,1,0.0,0.0,-0.73,-0.31,-0.42
Andrew Wiggins,7,20.7,3.0,-0.64,+0.45,-1.09
Toney Douglas,8,7.9,1.0,-0.73,+0.29,-1.02
Johnathan Williams,2,0.6,0.3,-0.73,-0.77,+0.03
Milos Teodosic,2,1.3,0.7,-0.73,+0.21,-0.95
Tim Hardaway Jr.,8,15.7,2.0,-0.70,+0.63,-1.34
Antonius Cleveland,2,0.2,0.1,-0.74,-0.85,+0.12
Brian Bowen II,2,0.0,0.0,-0.77,-0.26,-0.51
Markieff Morris,10,18.3,1.8,-0.74,-0.94,+0.20
Terance Mann,2,2.1,1.1,-0.36,-0.26,-0.10
Rodney Stuckey,8,15.0,1.9,-0.74,+0.42,-1.16
Killian Tillie,1,0.2,0.2,-0.86,-0.77,-0.09
Derek Fisher,5,8.4,1.7,-0.74,-1.02,+0.28
Boris Diaw,8,16.1,2.0,-0.74,-0.76,+0.01
Alando Tucker,1,0.1,0.1,-0.74,-0.13,-0.62
Luis Montero,2,0.1,0.0,-0.75,-0.43,-0.31
Marial Shayok,1,0.0,0.0,-0.75,-0.29,-0.46
Chimezie Metu,3,0.5,0.2,-1.34,-1.10,-0.23
Troy Murphy,4,4.2,1.0,-0.76,-0.90,+0.14
Mike Tobey,1,0.0,0.0,-0.76,-0.84,+0.08
Dewan Hernandez,1,0.0,0.0,-0.76,-0.29,-0.47
Dionte Christmas,1,0.2,0.2,-0.76,+0.19,-0.95
Maurice Harkless,9,12.9,1.4,-0.84,-1.18,+0.34
Alexey Shved,3,3.4,1.1,-0.77,-0.09,-0.67
Omri Casspi,10,12.3,1.2,-0.77,-0.32,-0.45
Terrence Ross,9,15.7,1.7,-0.76,+0.07,-0.82
Vladimir Radmanovic,4,3.0,0.8,-0.77,-1.09,+0.32
Kyle Alexander,1,0.0,0.0,-0.77,-0.50,-0.28
Tim Frazier,7,5.0,0.7,-0.77,-0.50,-0.27
Tyler Johnson,7,8.5,1.2,-0.82,-0.52,-0.30
London Perrantes,1,0.1,0.1,-0.78,-0.32,-0.46
Anthony Randolph,5,2.8,0.6,-0.78,-1.49,+0.71
Daniel Oturu,1,0.2,0.2,-0.61,-0.34,-0.28
Tarik Black,4,3.4,0.8,-0.79,-1.52,+0.73
Lorenzo Brown,5,1.2,0.2,-0.79,-0.72,-0.07
Isaiah Joe,1,0.4,0.4,-0.79,+0.06,-0.85
Chris Wilcox,4,2.8,0.7,-0.79,-0.91,+0.12
Grant Riller,1,0.0,0.0,-0.86,-0.37,-0.49
Zylan Cheatham,1,0.1,0.1,-0.79,-0.64,-0.16
Kelly Oubre Jr.,6,10.0,1.7,-0.82,-0.60,-0.22
Vincent Edwards,1,0.0,0.0,-0.79,-0.07,-0.72
Cameron Bairstow,2,0.2,0.1,-0.79,-0.64,-0.15
PJ Tucker,1,1.9,1.9,-0.80,-0.69,-0.10
Jacob Pullen,1,0.0,0.0,-0.80,-0.14,-0.66
DeVaughn Akoon-Purcell,1,0.0,0.0,-0.80,-0.32,-0.48
Vernon Carey Jr.,1,0.1,0.1,-0.84,-0.90,+0.06
Jamario Moon,3,2.2,0.7,-0.80,-1.46,+0.66
Josh Huestis,3,1.1,0.4,-0.80,-1.56,+0.76
Timofey Mozgov,8,8.2,1.0,-0.81,-1.75,+0.94
DaQuan Jeffries,2,0.7,0.3,-0.71,-0.69,-0.02
BJ Johnson,2,0.1,0.1,-0.81,-0.53,-0.28
Brian Skinner,3,0.1,0.0,-0.81,-0.70,-0.12
Lester Hudson,4,0.6,0.1,-0.81,-0.49,-0.32
Justin Anderson,5,2.9,0.6,-0.81,-0.25,-0.56
Zoran Dragic,1,0.1,0.1,-0.82,+0.01,-0.83
Tremont Waters,2,0.4,0.2,-0.60,+0.02,-0.62
Ike Anigbogu,2,0.0,0.0,-0.82,-0.14,-0.68
Trevor Booker,8,10.8,1.3,-0.82,-0.79,-0.03
Pops Mensah-Bonsu,2,0.2,0.1,-0.82,-0.85,+0.03
Cameron Payne,6,3.9,0.7,-0.72,-0.31,-0.41
James Webb III,1,0.1,0.1,-0.83,-0.64,-0.19
Jevon Carter,3,2.3,0.8,-0.76,-1.00,+0.24
Richard Jefferson,9,13.6,1.5,-0.84,-0.74,-0.10
Isaac Bonga,3,1.8,0.6,-0.83,-2.30,+1.46
Coty Clarke,1,0.0,0.0,-0.84,-0.27,-0.57
Derrick Jones Jr.,5,4.4,0.9,-0.87,-0.91,+0.04
Jalen Jones,2,0.4,0.2,-0.84,-0.61,-0.23
Justin Dentmon,2,0.1,0.0,-0.84,-0.95,+0.10
Terence Davis,2,2.1,1.1,-0.92,-0.24,-0.68
James Nunnally,3,0.3,0.1,-0.78,-0.58,-0.20
Thomas Welsh,1,0.0,0.0,-0.85,-0.35,-0.50
Juan Toscano-Anderson,2,1.7,0.9,-0.41,-1.99,+1.57
Randolph Morris,1,0.1,0.1,-0.86,-0.86,-0.00
Demetrius Jackson,3,0.1,0.0,-0.86,-0.32,-0.54
Wilson Chandler,10,16.2,1.6,-0.86,-0.50,-0.36
Peja Stojakovic,2,2.5,1.2,-0.86,-0.15,-0.71
Chris McCullough,3,0.5,0.2,-0.86,-0.86,-0.01
Ante Zizic,3,1.5,0.5,-0.87,-1.13,+0.26
Ty-Shon Alexander,1,0.1,0.1,-0.72,-0.22,-0.50
Terry Rozier,6,9.9,1.7,-0.82,-0.11,-0.71
Ben Moore,1,0.0,0.0,-0.87,-0.22,-0.65
Maurice Ndour,1,0.3,0.3,-0.87,-1.56,+0.69
Mfiondu Kabengele,2,0.3,0.1,-1.12,-0.89,-0.23
Sergey Karasev,3,1.1,0.4,-0.87,-0.84,-0.03
Rodney Hood,7,9.8,1.4,-0.88,-0.36,-0.52
Justin Harper,3,0.1,0.0,-0.87,-0.59,-0.28
Shamorie Ponds,1,0.0,0.0,-0.88,-0.25,-0.62
Bobby Portis,6,7.3,1.2,-0.91,-0.10,-0.81
John Salmons,6,10.4,1.7,-0.88,-1.04,+0.16
Jordan Mickey,3,0.5,0.2,-0.89,-1.27,+0.38
Ime Udoka,2,1.0,0.5,-0.89,-1.41,+0.53
Jarrell Brantley,2,0.2,0.1,-1.20,-0.58,-0.62
Chris Silva,2,0.4,0.2,-0.90,-1.24,+0.33
Jabari Parker,7,8.0,1.1,-0.89,-0.00,-0.89
Jerami Grant,7,12.1,1.7,-0.91,-1.18,+0.27
Chris Babb,1,0.1,0.1,-0.91,-0.45,-0.46
Brad Wanamaker,3,2.4,0.8,-1.01,-0.94,-0.07
Nate Darling,1,0.0,0.0,-1.03,-0.42,-0.61
Jaylen Morris,2,0.1,0.1,-0.92,-0.97,+0.04
Onyeka Okongwu,1,0.5,0.5,-1.10,-1.63,+0.52
Darrell Arthur,8,6.9,0.9,-0.92,-1.82,+0.90
Edy Tavares,2,0.1,0.0,-0.93,-0.54,-0.39
Moses Brown,2,0.6,0.3,-1.35,-1.58,+0.22
Dylan Windler,1,0.5,0.5,-0.72,-1.17,+0.44
Henry Walker,4,2.5,0.6,-0.94,-0.74,-0.20
Joel Anthony,8,5.0,0.6,-0.95,-2.49,+1.54
Tyrese Haliburton,1,1.5,1.5,-1.01,+0.68,-1.69
Charlie Villanueva,7,5.7,0.8,-0.95,+0.14,-1.09
Tibor Pleiss,1,0.1,0.1,-0.95,-0.63,-0.32
Skal Labissiere,4,2.3,0.6,-0.95,-1.05,+0.10
Will Cherry,1,0.1,0.1,-0.95,-0.56,-0.39
Lou Amundson,7,3.9,0.6,-0.95,-2.17,+1.22
Guerschon Yabusele,2,0.4,0.2,-0.95,-0.43,-0.53
Reggie Evans,6,5.0,0.8,-0.96,-1.90,+0.94
Dakota Mathias,1,0.1,0.1,-1.14,-0.03,-1.11
Kira Lewis Jr.,1,0.8,0.8,-1.02,-0.50,-0.52
Marvin Bagley III,3,2.7,0.9,-0.97,-0.06,-0.91
Evan Fournier,9,14.3,1.6,-0.97,+0.02,-1.00
Xavier Rathan-Mayes,1,0.1,0.1,-0.97,-0.55,-0.42
Armoni Brooks,1,-0.1,-0.1,-2.67,-0.79,-1.88
Mo Williams,7,10.3,1.5,-0.97,+0.12,-1.10
Andrew Harrison,3,2.6,0.9,-0.98,-1.09,+0.11
Lance Stephenson,9,10.5,1.2,-0.98,-0.61,-0.37
Joe Harris,7,9.6,1.4,-0.90,+0.00,-0.91
Bogdan Bogdanovic,4,7.0,1.8,-0.84,+0.25,-1.09
Thon Maker,5,3.2,0.6,-0.99,-1.26,+0.27
Mason Jones,1,0.3,0.3,-1.03,-0.48,-0.55
Saben Lee,1,0.3,0.3,-1.76,-1.33,-0.44
Alex Kirk,1,0.0,0.0,-1.00,-0.55,-0.45
Carl Landry,7,8.2,1.2,-1.00,-0.06,-0.94
Oleksiy Pecherov,1,0.4,0.4,-1.00,-1.53,+0.53
Jamil Wilson,1,0.2,0.2,-1.00,-1.08,+0.08
Steven Hunter,1,0.1,0.1,-1.00,-1.03,+0.03
Daniel Gibson,4,4.1,1.0,-1.00,-0.33,-0.68
Courtney Fortson,1,0.1,0.1,-1.01,-0.91,-0.09
Marcus Thornton,8,9.8,1.2,-1.01,+0.71,-1.72
Josh Davis,1,0.1,0.1,-1.01,-0.59,-0.43
Miles Plumlee,7,4.9,0.7,-1.01,-2.02,+1.01
Tyler Hansbrough,7,6.2,0.9,-1.01,-0.65,-0.37
Damion James,3,0.5,0.2,-1.02,-2.30,+1.28
Shaquille Harrison,4,1.9,0.5,-1.20,-1.48,+0.28
Vic Law,1,0.1,0.1,-1.02,-0.83,-0.19
D.J. Wilson,4,1.5,0.4,-1.05,-1.42,+0.37
Deni Avdija,1,1.3,1.3,-0.77,-2.13,+1.36
Sergio Rodriguez,2,2.2,1.1,-1.03,-0.18,-0.85
Gary Payton II,5,0.7,0.1,-1.01,-1.08,+0.07
Greg Whittington,1,0.0,0.0,-0.82,-0.39,-0.43
Chinanu Onuaku,2,0.1,0.0,-1.04,-0.47,-0.57
Coby Karl,1,0.1,0.1,-1.04,-0.91,-0.13
Marcus Landry,1,0.1,0.1,-1.04,-0.58,-0.46
Taurean Prince,5,6.7,1.3,-1.00,-0.94,-0.06
Buddy Hield,5,10.8,2.2,-0.86,+0.58,-1.45
