Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Eric Bledsoe,11,50.1,4.6,+1.51,+0.76,+0.74
Robert Williams III,3,4.0,1.3,+1.33,-0.18,+1.51
Anderson Varejao,9,19.8,2.2,+1.45,+0.03,+1.42
Donovan Mitchell,4,22.7,5.7,+1.32,+1.79,-0.47
Khris Middleton,9,46.8,5.2,+1.48,+1.11,+0.36
Lamar Odom,4,19.5,4.9,+1.41,+0.02,+1.39
Jrue Holiday,12,64.6,5.4,+1.47,+1.08,+0.39
Eric Moreland,4,2.2,0.6,+1.36,-1.84,+3.21
Gerald Wallace,6,28.5,4.7,+1.35,-0.38,+1.73
Andre Miller,7,28.3,4.0,+1.28,+1.58,-0.29
Salah Mejri,4,5.8,1.5,+1.27,-1.60,+2.87
Otto Porter Jr.,8,27.8,3.5,+1.25,+0.45,+0.80
David West,9,41.4,4.6,+1.25,+0.45,+0.80
Amir Johnson,10,39.1,3.9,+1.25,-0.22,+1.47
Serge Ibaka,12,57.1,4.8,+1.24,-0.27,+1.51
Jarrett Allen,4,16.4,4.1,+1.07,-0.21,+1.28
Zach Randolph,9,45.9,5.1,+1.23,+1.37,-0.14
Nikola Vucevic,10,48.8,4.9,+1.27,+0.25,+1.02
Chauncey Billups,5,14.5,2.9,+1.22,+2.38,-1.16
Isaiah Thomas,10,35.8,3.6,+1.21,+3.18,-1.97
Immanuel Quickley,1,2.7,2.7,+0.99,+1.73,-0.74
Shawn Long,1,0.5,0.5,+1.16,+1.54,-0.38
Donte DiVincenzo,3,8.6,2.9,+1.12,+0.01,+1.10
Klay Thompson,8,46.5,5.8,+1.11,+1.54,-0.42
Myles Turner,6,25.6,4.3,+1.13,-1.32,+2.44
Victor Oladipo,8,33.9,4.2,+1.09,+0.38,+0.71
Gordon Hayward,11,48.1,4.4,+1.08,+1.36,-0.28
Richaun Holmes,6,15.5,2.6,+1.08,+0.24,+0.84
Tyson Chandler,11,37.2,3.4,+1.06,-0.72,+1.77
Patrick Beverley,9,28.6,3.2,+1.00,+0.35,+0.65
Greg Oden,2,1.6,0.8,+1.03,-0.72,+1.75
Al Jefferson,9,38.0,4.2,+1.02,+0.51,+0.50
Derrick Favors,11,41.3,3.8,+1.02,-0.35,+1.37
Ty Lawson,8,35.6,4.4,+1.00,+2.09,-1.10
Dejounte Murray,4,13.4,3.3,+1.09,-0.27,+1.35
Nicolas Claxton,2,1.8,0.9,+1.10,-0.88,+1.98
Ivica Zubac,5,10.7,2.1,+0.91,-0.68,+1.59
Larry Sanders,6,10.1,1.7,+0.97,-2.34,+3.31
Brandon Roy,3,8.4,2.8,+0.97,+2.19,-1.23
Montrezl Harrell,6,17.7,3.0,+0.91,+0.90,+0.01
Kenneth Faried,8,25.6,3.2,+0.95,+0.84,+0.11
CJ McCollum,8,36.3,4.5,+0.98,+1.60,-0.61
Jeff Withey,5,4.5,0.9,+0.94,-0.69,+1.63
Jakob Poeltl,5,14.9,3.0,+1.15,-0.49,+1.64
Channing Frye,9,30.9,3.4,+0.94,+0.67,+0.27
Brandan Wright,8,12.8,1.6,+0.93,+0.42,+0.51
Carmelo Anthony,12,55.3,4.6,+0.92,+1.92,-1.00
Steven Adams,8,34.0,4.3,+0.91,-0.23,+1.13
Bradley Beal,9,46.3,5.1,+1.00,+1.87,-0.87
Luol Deng,10,42.4,4.2,+0.89,+0.50,+0.39
Brandon Clarke,2,6.0,3.0,+0.97,+0.22,+0.75
Joe Ingles,7,30.2,4.3,+0.91,+0.28,+0.63
Vince Carter,11,36.4,3.3,+0.88,+0.56,+0.31
Marcin Gortat,10,42.2,4.2,+0.88,-0.71,+1.59
Daniel Theis,4,11.3,2.8,+1.05,-0.55,+1.60
Lucas Nogueira,4,3.7,0.9,+0.82,-1.37,+2.19
Tony Allen,9,26.6,3.0,+0.81,-1.15,+1.96
Ryan Anderson,11,32.1,2.9,+0.81,+2.12,-1.32
Elton Brand,7,21.8,3.1,+0.80,-0.76,+1.56
Jonas Valanciunas,9,33.5,3.7,+0.84,+0.04,+0.81
Chris Chiozza,3,1.4,0.5,+0.81,+0.64,+0.17
Kyle O'Quinn,8,13.9,1.7,+0.78,-0.59,+1.37
De'Anthony Melton,3,6.7,2.2,+0.84,-0.36,+1.20
Matt Bonner,7,13.6,1.9,+0.74,+0.79,-0.04
Aaron Gordon,7,26.1,3.7,+0.72,+0.39,+0.33
Shane Battier,5,18.9,3.8,+0.72,-0.10,+0.82
Rasheed Wallace,2,4.2,2.1,+0.71,-1.37,+2.08
Domantas Sabonis,5,19.5,3.9,+0.71,-0.24,+0.95
Goran Dragic,12,46.1,3.8,+0.63,+1.49,-0.86
Jeff Foster,3,2.7,0.9,+0.69,-0.19,+0.88
Mason Plumlee,8,26.1,3.3,+0.70,-0.36,+1.06
Jae Crowder,9,33.1,3.7,+0.66,+0.27,+0.39
John Collins,4,14.1,3.5,+0.79,+0.81,-0.02
Jeff Teague,12,44.1,3.7,+0.67,+0.80,-0.13
Marcus Smart,7,25.9,3.7,+0.63,+0.04,+0.59
Jared Sullinger,5,12.9,2.6,+0.65,-0.09,+0.74
Metta World Peace,7,20.6,2.9,+0.65,-0.29,+0.94
Malcolm Brogdon,5,17.9,3.6,+0.71,+1.10,-0.39
Tony Parker,10,35.3,3.5,+0.64,+1.01,-0.37
Duncan Robinson,3,9.9,3.3,+0.90,+0.59,+0.31
Jamal Murray,5,20.0,4.0,+0.58,+1.35,-0.77
Tyus Jones,6,12.9,2.1,+0.51,+0.55,-0.04
Greg Monroe,9,34.2,3.8,+0.61,+0.66,-0.05
Jonathan Isaac,3,6.8,2.3,+0.61,-1.58,+2.19
Nikola Pekovic,6,13.1,2.2,+0.60,+0.42,+0.18
Derrick Rose,11,34.3,3.1,+0.61,+1.70,-1.09
Kyle Anderson,7,18.3,2.6,+0.70,-1.01,+1.70
Michael Kidd-Gilchrist,8,21.3,2.7,+0.59,-1.04,+1.63
Shaquille O'Neal,2,3.9,1.9,+0.58,-1.33,+1.91
Delon Wright,6,14.1,2.3,+0.64,+0.38,+0.26
Chandler Parsons,9,25.5,2.8,+0.57,+0.61,-0.04
Lonzo Ball,4,13.6,3.4,+0.60,-0.24,+0.84
Pierre Jackson,1,0.2,0.2,+0.55,+0.37,+0.18
Kelly Olynyk,8,25.1,3.1,+0.66,+0.07,+0.59
